SampleNumber,Site,CollectDate,SiO2,TP,Si_corrected
FMP02217,"Flathead Lake, Midlake Deep",1993-09-17,5.18,3.31,0
FMP02232,"Flathead Lake, Midlake Deep",1993-10-25,4.85,6.06,0
FMP02241,"Flathead Lake, Midlake Deep",1993-12-10,4.95,4.51,0
FMP02257,"Flathead Lake, Midlake Deep",1994-02-01,4.98,4.93,0
FMP02272,"Flathead Lake, Midlake Deep",1994-03-09,4.81,3.73,0
FMP02287,"Flathead Lake, Midlake Deep",1994-04-12,4.67,4.33,0
FMP02312,"Flathead Lake, Midlake Deep",1994-05-16,4.78,7.01,0
FMP02329,"Flathead Lake, Midlake Deep",1994-06-06,5.24,5.90,0
FMP02344,"Flathead Lake, Midlake Deep",1994-06-17,4.80,3.68,0
FMP02351,"Flathead Lake, Midlake Deep",1994-06-29,4.00,5.63,0
FMP02366,"Flathead Lake, Midlake Deep",1994-07-26,3.98,3.80,0
FMP02389,"Flathead Lake, Midlake Deep",1994-08-25,3.81,4.07,0
FMP02398,"Flathead Lake, Midlake Deep",1994-09-22,3.68,8.99,0
FMP02479,"Flathead Lake, Midlake Deep",1994-10-24,3.86,7.27,0
FMP02507,"Flathead Lake, Midlake Deep",1994-11-22,4.58,3.05,0
FMP02525A,"Flathead Lake, Midlake Deep",1995-01-19,4.55,3.74,0
FMP02525B,"Flathead Lake, Midlake Deep",1995-01-19,4.55,2.64,0
FMP02542,"Flathead Lake, Midlake Deep",1995-03-10,4.16,3.42,0
FMP02560,"Flathead Lake, Midlake Deep",1995-04-11,4.27,4.46,0
FMP02576,"Flathead Lake, Midlake Deep",1995-05-04,4.25,4.19,0
FMP02599,"Flathead Lake, Midlake Deep",1995-05-25,4.17,5.92,0
FMP02617,"Flathead Lake, Midlake Deep",1995-06-15,3.81,3.98,0
FMP02626,"Flathead Lake, Midlake Deep",1995-07-06,3.78,3.73,0
FMP02645,"Flathead Lake, Midlake Deep",1995-08-09,3.64,3.71,0
FMP02661A,"Flathead Lake, Midlake Deep",1995-09-11,3.72,2.78,0
FMP02661B,"Flathead Lake, Midlake Deep",1995-09-11,3.78,2.68,0
FMP02679,"Flathead Lake, Midlake Deep",1995-10-13,4.07,6.49,0
FMP02699,"Flathead Lake, Midlake Deep",1995-11-20,4.50,4.25,0
FMP02717,"Flathead Lake, Midlake Deep",1995-12-27,4.41,4.36,0
FMP02742,"Flathead Lake, Midlake Deep",1996-02-13,4.97,2.84,0
FMP02758,"Flathead Lake, Midlake Deep",1996-03-26,4.50,3.81,0
FMP02774,"Flathead Lake, Midlake Deep",1996-04-25,4.51,5.48,0
FMP02793A,"Flathead Lake, Midlake Deep",1996-06-20,4.49,8.35,0
FMP02793B,"Flathead Lake, Midlake Deep",1996-06-20,4.61,9.06,0
FMP02801,"Flathead Lake, Midlake Deep",1996-09-09,5.04,4.19,0
FMP02817,"Flathead Lake, Midlake Deep",1996-10-17,5.42,5.99,0
FMP02836,"Flathead Lake, Midlake Deep",1996-12-04,5.86,4.63,0
FMP02861,"Flathead Lake, Midlake Deep",1997-02-03,6.38,5.67,0
FMP02876,"Flathead Lake, Midlake Deep",1997-04-18,5.46,4.09,0
FMP02890,"Flathead Lake, Midlake Deep",1997-05-09,5.80,8.53,0
FMP02923,"Flathead Lake, Midlake Deep",1997-06-13,5.57,9.58,0
